Product Name,Product URL,Price,image
Asiatic Lily  Flower  Bulbs Pack of 5 Mix,https://amzn.in/d/e0QkWHi,₹297,https://m.media-amazon.com/images/I/51cXdJok-6L._SY300_SX300_QL70_FMwebp_.jpg
Dragon Fruit Live Plant,https://amzn.in/d/1lufObM,₹136,https://m.media-amazon.com/images/I/418l7BQEgFL._SY300_SX300_QL70_FMwebp_.jpg
White Winter Season Big-Petal Oyster Mushroom Growing Kit (400gm Spawn + 2 PP Grow Bags + Instruction),https://amzn.in/d/d6U5LUl,₹199,https://m.media-amazon.com/images/I/71xAl7MObbL._SX679_.jpg
Kraft Seeds / Smart Lock Pruner (hand pruning cutter),https://amzn.in/d/bqYVcHE,₹289,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSeyWGwikC2aRFiiSSsOBJr9PLHCA1kNnMjo8PV7U5XwDCYTQ
"Self-Adhesive Plant Clips for Wall (30 Pack) | Leaf-Style Invisible Vine Support Clips for Money Plant, Creepers & Climbers",https://amzn.in/d/7cZrgIm,₹149,https://m.media-amazon.com/images/I/61wqpER4ZqL._SY300_SX300_QL70_FMwebp_.jpg
ORILEY 500ml Spray Bottle � multifunctional plant sprayer,https://amzn.in/d/dSUtpGR,₹220,https://m.media-amazon.com/images/I/41tw4ZPCiZL._SY300_SX300_QL70_FMwebp_.jpg
Quincy 8 Inch Gardening Scissors -Pack of 1 | Plants Scissor | Garden Shear Tree Branch Pruner,https://amzn.in/d/cj5FArE,₹299,https://m.media-amazon.com/images/I/61k++RslohL._SX679_.jpg
Navika Seeds � 15 Packets Vegetable Seeds combo,https://amzn.in/d/9r3Losq,₹179,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQmUnGI3fEPZTw0mutm8HiS3Uc-FO0s2Vb8h5mcQZajsx_4zQ
10 Varieties Vegetable Seeds Combo (pack),https://amzn.in/d/5xmewb4,₹148,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRN9QGFAhLQPcE0j8NJcEtUpLCgQjbvHYNWr0KNAu4M3nCHEA
Kraft Seeds small pruning cutter (budget pruner),https://amzn.in/d/90r4bTe,₹379,https://m.media-amazon.com/images/I/61Ig3x+vCHL._SX679_.jpg
"Cinagro Cocopeat (5 kgs Block, Expand up to 75 litres or 15 Kgs Cocopeat Powder),",https://amzn.in/d/3zDd95a,₹299,https://m.media-amazon.com/images/I/51Gu-aJqvSL._SX342_SY445_QL70_FMwebp_.jpg
TrustBasket Gardening Gloves (reusable protective gloves),https://amzn.in/d/iHWacNh,₹99,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS2Z-dvtyYasHwXx0O-nG-sFiaybYBrdESR4s2DMn5T8ZVmrQ
Dxent 1-Liter 2-in-1 Watering Can Sprinkler,https://amzn.in/d/4mzcwCf,₹399,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQWzxMDM_kgy7ET4F6drAdLS3Ro9V53wj88vpNTo997WCK-rg
